"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008M05","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M05","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.2",""
"2008M05","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M05","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2008M05","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"2008M05","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.5",""
"2008M05","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M05","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2008M05","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"2008M05","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.0",""
"2008M06","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2008M06","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2008M06","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7",""
"2008M06","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M06","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2008M06","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2008M06","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2008M06","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0",""
"2008M06","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2008M06","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.8",""
"2008M06","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M06","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2008M06","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2008M06","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.5",""
"2008M06","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2008M06","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2008M06","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2008M06","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2008M06","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"2008M06","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2008M06","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.8",""
"2008M06","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2008M06","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"2008M06","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7",""
"2008M06","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M06","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2008M06","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M06","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2008M06","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"2008M06","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.6",""
"2008M06","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.5",""
"2008M06","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2008M06","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M06","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.0",""
"2008M07","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2008M07","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M07","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M07","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M07","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2008M07","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M07","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"2008M07","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2008M07","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M07","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.1",""
"2008M07","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2008M07","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2008M07","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2008M07","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2008M07","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2008M07","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M07","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2008M07","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2008M07","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
